name,address,category,rating,main.latitude,main.longitude
Hook & Ladder,7 Sarsfield St,Café,7.9,52.664201,-8.628079
Hamptons Grill,U10 Henry St,Steakhouse,8.5,52.662306,-8.630601
House Limerick,Howley's Quay,Lounge,8.1,52.662945,-8.630873
Mogul Emperor,1 Henry St,Indian Restaurant,7.5,52.664132,-8.628208
The River Restaurant,Limerick Strand Hotel Ennis Road The Limerick Strand,Restaurant,,52.666127,-8.631856
The Terrace Bar,The Strand Hotel,Hotel Bar,,52.666152,-8.632131
Curragower Pub Limerick,"The Curragower Pub, Clancys Strand",Bar,9.1,52.668461,-8.627883
The Buttery,10 Bedford Row,Wine Bar,7.7,52.663731,-8.628302
La Cucina Centro,Henry St,Italian Restaurant,8.1,52.66288,-8.629947
Sarsfield Bridge,Droichead An Tsáirséalaigh,Bridge,,52.665309,-8.630118
Aroi Asian Street Food,1 O'Connell St,Asian Restaurant,7.9,52.664329,-8.625915
O'Mahony's Bookshop,120 O'Connell St,Bookstore,7.5,52.662963,-8.628186
Milano,Harvey's Quay,Pizzeria,6.7,52.663578,-8.630191
The Savoy Bar,"Savoy Hotel, Henry St",Hotel Bar,7.2,52.663165,-8.629337
Dunnes Stores,Henry St,Department Store,6.8,52.66351,-8.628789
Taikichi,35 O'Connell St,Japanese Restaurant,8.5,52.662305,-8.628593
Mickey Martins,"1 augustinian lane, thomas St",Arts and Entertainment,8.4,52.662931,-8.626958
Pharmacia,8 Sarsfield St,Beer Bar,6.2,52.664311,-8.628601
The Hunt Museum,Rutland St,Museum,8.3,52.666454,-8.624336
Flannery's Bar,Shannon St,Bar,7.2,52.662459,-8.628711
