name,address,title,rating,review_count,distance
The Curragower,Clancy Strand,Seafood,4.5,112,390.7858117037763
The Locke Bar,3 George's Quay,Bars,4.5,158,640.4769155385942
Hamptons,The Savoy Hotel,Irish,4.0,26,305.23553851845935
House Limerick,Howley's Quay,Cocktail Bars,4.5,12,311.57174242870326
Cornstore,19 Thomas St,Seafood,4.5,41,545.5947694265443
Aroi,1 O'Connell Street,Asian Fusion,4.5,24,391.89951091299696
Coqbull,49-50 Thomas Street,Burgers,4.5,19,476.83764042096567
Hook & Ladder,7 Sarsfield Street,Cooking Schools,4.5,24,285.074310295261
Da Vincenzo Food and Wine Hall,1st Floor,Pizza,4.5,16,430.09630529810926
Freddy's Bistro,Theatre Lane,Irish,4.5,23,518.3386809571434
Dolans Pub & Restaurant,3-4 Dock Road,Pubs,4.5,50,886.1813370570943
Jasmine Palace,O'Connell Street,Chinese,4.5,17,474.11009537906165
The Copper Room,100 O'Connell Street,Wine Bars,5.0,10,492.96623203362014
Arabica Coffee,Shannon Street,Breakfast & Brunch,4.5,12,346.7677444131021
Taikichi,35 O'Connell Street,Japanese,4.0,19,455.32316337865944
The Buttery Kitchen,10 Bedford Row,Cafes,4.5,49,319.46933860973195
Glen Tavern,1-2 Lower Glentworth St,Pubs,4.5,16,506.8726433605974
Katie Daly's Heritage Pub & Kitchen,The Parade,Irish Pub,5.0,16,645.1680432443018
Milano,Harveys Quay,Italian,4.0,8,212.70676064104038
Bella Italia,43 Thomas Street,Italian,4.5,18,543.087726574049
